;;;;;;;;;;Ticket Médio por venda;R$ 999,41;;;;
62;2024-03-05;2024;3;5;42;Cliente_42;Sul;Varejo;Produto_145;Serviços;10; R$ 321,72 ; R$ 3.217,20 ;Transferência;Cancelada
63;2024-11-06;2024;11;6;525;Cliente_525;Norte;Atacado;Produto_80;Eletrônicos;6; R$ 352,22 ; R$ 2.113,32 ;Cartão;Pendente
64;2024-04-11;2024;4;11;1180;Cliente_1180;Norte;Atacado;Produto_27;Software;7; R$ 805,38 ; R$ 5.637,66 ;Cartão;Cancelada
65;2024-12-04;2024;12;4;85;Cliente_85;Sudeste;Varejo;Produto_130;Software;6; R$ 1.074,84 ; R$ 6.449,04 ;Cartão;Pendente
66;2024-07-04;2024;7;4;1004;Cliente_1004;Sul;Atacado;Produto_112;Serviços;2; R$ 878,38 ; R$ 1.756,76 ;Pix;Cancelada
67;2024-10-30;2024;10;30;1103;Cliente_1103;Sudeste;Online;Produto_63;Eletrônicos;8; R$ 940,45 ; R$ 7.523,60 ;Pix;Pendente
68;2024-12-08;2024;12;8;500;Cliente_500;Sul;Online;Produto_8;Equipamentos;8; R$ 1.148,30 ; R$ 9.186,40 ;Pix;Concluída
69;2024-05-12;2024;5;12;999;Cliente_999;Sudeste;Online;Produto_71;Acessórios;4; R$ 722,55 ; R$ 2.890,20 ;Cartão;Cancelada
70;2024-07-27;2024;7;27;392;Cliente_392;Sul;Atacado;Produto_122;Equipamentos;2; R$ 497,88 ; R$ 995,76 ;Transferência;Concluída
71;2024-12-20;2024;12;20;191;Cliente_191;Nordeste;Online;Produto_149;Software;5; R$ 458,76 ; R$ 2.293,80 ;Transferência;Cancelada
72;2024-10-08;2024;10;8;1088;Cliente_1088;Sudeste;Online;Produto_117;Software;6; R$ 862,50 ; R$ 5.175,00 ;Pix;Pendente
73;2024-06-10;2024;6;10;473;Cliente_473;Norte;Atacado;Produto_50;Serviços;2; R$ 1.448,14 ; R$ 2.896,28 ;Transferência;Pendente
74;2024-02-21;2024;2;21;1075;Cliente_1075;Nordeste;Online;Produto_59;Software;10; R$ 580,34 ; R$ 5.803,40 ;Boleto;Pendente
75;2024-01-24;2024;1;24;29;Cliente_29;Norte;Online;Produto_33;Equipamentos;9; R$ 270,63 ; R$ 2.435,67 ;Cartão;Concluída
76;2024-08-13;2024;8;13;1176;Cliente_1176;Sudeste;Atacado;Produto_14;Software;5; R$ 949,41 ; R$ 4.747,05 ;Transferência;Concluída
77;2024-10-22;2024;10;22;134;Cliente_134;Norte;Atacado;Produto_39;Acessórios;7; R$ 993,66 ; R$ 6.955,62 ;Pix;Concluída
78;2024-08-01;2024;8;1;509;Cliente_509;Centro-Oeste;Atacado;Produto_134;Equipamentos;2; R$ 1.124,98 ; R$ 2.249,96 ;Transferência;Pendente
79;2024-06-05;2024;6;5;609;Cliente_609;Centro-Oeste;Varejo;Produto_26;Serviços;10; R$ 1.980,26 ; R$ 19.802,60 ;Boleto;Pendente
80;2024-10-09;2024;10;9;167;Cliente_167;Norte;Atacado;Produto_1;Equipamentos;3; R$ 494,93 ; R$ 1.484,79 ;Transferência;Cancelada
81;2024-05-27;2024;5;27;963;Cliente_963;Sudeste;Corporativo;Produto_19;Serviços;5; R$ 84,63 ; R$ 423,15 ;Pix;Cancelada
82;2024-04-25;2024;4;25;406;Cliente_406;Nordeste;Online;Produto_37;Eletrônicos;7; R$ 247,26 ; R$ 1.730,82 ;Cartão;Concluída
83;2024-10-18;2024;10;18;630;Cliente_630;Sudeste;Corporativo;Produto_32;Equipamentos;10; R$ 1.502,94 ; R$ 15.029,40 ;Pix;Cancelada
84;2024-09-09;2024;9;9;825;Cliente_825;Sul;Varejo;Produto_11;Equipamentos;5; R$ 1.010,93 ; R$ 5.054,65 ;Pix;Cancelada
85;2024-12-11;2024;12;11;513;Cliente_513;Centro-Oeste;Varejo;Produto_69;Acessórios;1; R$ 200,83 ; R$ 200,83 ;Cartão;Concluída
86;2024-05-22;2024;5;22;964;Cliente_964;Nordeste;Corporativo;Produto_126;Eletrônicos;9; R$ 1.309,99 ; R$ 11.789,91 ;Transferência;Pendente
87;2024-02-23;2024;2;23;837;Cliente_837;Nordeste;Online;Produto_106;Equipamentos;6; R$ 655,70 ; R$ 3.934,20 ;Pix;Cancelada
88;2024-02-15;2024;2;15;821;Cliente_821;Sudeste;Online;Produto_83;Eletrônicos;9; R$ 92,66 ; R$ 833,94 ;Transferência;Cancelada
89;2024-01-28;2024;1;28;3;Cliente_3;Nordeste;Online;Produto_128;Equipamentos;9; R$ 934,71 ; R$ 8.412,39 ;Cartão;Concluída
90;2024-05-27;2024;5;27;547;Cliente_547;Sul;Corporativo;Produto_32;Eletrônicos;9; R$ 279,41 ; R$ 2.514,69 ;Boleto;Cancelada
91;2024-10-09;2024;10;9;325;Cliente_325;Sul;Varejo;Produto_58;Eletrônicos;5; R$ 1.110,66 ; R$ 5.553,30 ;Transferência;Concluída
92;2024-05-29;2024;5;29;316;Cliente_316;Centro-Oeste;Online;Produto_107;Equipamentos;8; R$ 1.866,65 ; R$ 14.933,20 ;Transferência;Concluída
93;2024-04-07;2024;4;7;936;Cliente_936;Centro-Oeste;Atacado;Produto_18;Software;9; R$ 306,39 ; R$ 2.757,51 ;Transferência;Pendente
94;2024-05-24;2024;5;24;1040;Cliente_1040;Sudeste;Corporativo;Produto_39;Equipamentos;5; R$ 1.644,69 ; R$ 8.223,45 ;Transferência;Pendente
95;2024-07-12;2024;7;12;681;Cliente_681;Sul;Online;Produto_49;Serviços;9; R$ 1.530,49 ; R$ 13.774,41 ;Transferência;Concluída
96;2024-08-30;2024;8;30;842;Cliente_842;Sul;Corporativo;Produto_39;Equipamentos;1; R$ 649,99 ; R$ 649,99 ;Cartão;Concluída
97;2024-02-21;2024;2;21;1029;Cliente_1029;Sul;Varejo;Produto_135;Equipamentos;10; R$ 677,35 ; R$ 6.773,50 ;Cartão;Cancelada
98;2024-03-20;2024;3;20;296;Cliente_296;Norte;Corporativo;Produto_68;Software;7; R$ 1.744,45 ; R$ 12.211,15 ;Transferência;Cancelada
99;2024-09-30;2024;9;30;165;Cliente_165;Sul;Online;Produto_125;Acessórios;6; R$ 1.707,64 ; R$ 10.245,84 ;Cartão;Cancelada
100;2024-05-27;2024;5;27;141;Cliente_141;Nordeste;Varejo;Produto_112;Eletrônicos;4; R$ 1.269,70 ; R$ 5.078,80 ;Cartão;Pendente
101;2024-01-24;2024;1;24;341;Cliente_341;Sudeste;Varejo;Produto_76;Software;5; R$ 1.808,78 ; R$ 9.043,90 ;Pix;Pendente
102;2024-10-16;2024;10;16;299;Cliente_299;Nordeste;Atacado;Produto_45;Eletrônicos;4; R$ 1.071,71 ; R$ 4.286,84 ;Transferência;Cancelada
103;2024-03-14;2024;3;14;494;Cliente_494;Nordeste;Corporativo;Produto_66;Equipamentos;8; R$ 1.827,40 ; R$ 14.619,20 ;Pix;Cancelada
104;2024-12-12;2024;12;12;20;Cliente_20;Centro-Oeste;Atacado;Produto_19;Equipamentos;8; R$ 1.804,39 ; R$ 14.435,12 ;Pix;Cancelada
105;2024-08-21;2024;8;21;613;Cliente_613;Sudeste;Atacado;Produto_99;Equipamentos;7; R$ 1.386,82 ; R$ 9.707,74 ;Cartão;Concluída
106;2024-05-31;2024;5;31;782;Cliente_782;Sudeste;Varejo;Produto_102;Software;10; R$ 730,74 ; R$ 7.307,40 ;Cartão;Cancelada
107;2024-05-26;2024;5;26;101;Cliente_101;Nordeste;Online;Produto_57;Serviços;10; R$ 1.495,44 ; R$ 14.954,40 ;Pix;Cancelada
108;2024-11-26;2024;11;26;281;Cliente_281;Norte;Online;Produto_113;Eletrônicos;2; R$ 1.808,74 ; R$ 3.617,48 ;Pix;Cancelada
109;2024-06-16;2024;6;16;270;Cliente_270;Sul;Atacado;Produto_52;Serviços;2; R$ 1.821,06 ; R$ 3.642,12 ;Pix;Cancelada
110;2024-05-11;2024;5;11;1028;Cliente_1028;Sul;Online;Produto_87;Eletrônicos;5; R$ 1.664,34 ; R$ 8.321,70 ;Transferência;Concluída
111;2024-12-11;2024;12;11;289;Cliente_289;Sul;Online;Produto_24;Equipamentos;4; R$ 1.723,08 ; R$ 6.892,32 ;Cartão;Pendente
112;2024-12-10;2024;12;10;1099;Cliente_1099;Sudeste;Corporativo;Produto_96;Eletrônicos;2; R$ 920,48 ; R$ 1.840,96 ;Boleto;Pendente
113;2024-10-14;2024;10;14;52;Cliente_52;Sudeste;Atacado;Produto_17;Equipamentos;10; R$ 1.770,78 ; R$ 17.707,80 ;Pix;Cancelada
114;2024-01-20;2024;1;20;837;Cliente_837;Sudeste;Corporativo;Produto_30;Eletrônicos;2; R$ 296,76 ; R$ 593,52 ;Boleto;Cancelada
115;2024-12-09;2024;12;9;278;Cliente_278;Centro-Oeste;Corporativo;Produto_40;Equipamentos;7; R$ 918,21 ; R$ 6.427,47 ;Cartão;Pendente
116;2024-07-08;2024;7;8;836;Cliente_836;Nordeste;Corporativo;Produto_114;Serviços;5; R$ 84,78 ; R$ 423,90 ;Pix;Concluída
117;2024-11-26;2024;11;26;753;Cliente_753;Sudeste;Varejo;Produto_102;Software;9; R$ 1.805,36 ; R$ 16.248,24 ;Boleto;Concluída
118;2024-11-24;2024;11;24;932;Cliente_932;Centro-Oeste;Varejo;Produto_13;Software;2; R$ 1.332,28 ; R$ 2.664,56 ;Boleto;Concluída
119;2024-10-10;2024;10;10;1157;Cliente_1157;Nordeste;Atacado;Produto_60;Software;4; R$ 155,85 ; R$ 623,40 ;Boleto;Cancelada
120;2024-03-15;2024;3;15;6;Cliente_6;Nordeste;Online;Produto_45;Eletrônicos;5; R$ 1.719,64 ; R$ 8.598,20 ;Cartão;Concluída
121;2024-05-01;2024;5;1;31;Cliente_31;Centro-Oeste;Online;Produto_5;Serviços;6; R$ 1.584,17 ; R$ 9.505,02 ;Pix;Concluída
122;2024-02-02;2024;2;2;260;Cliente_260;Sul;Corporativo;Produto_93;Acessórios;7; R$ 1.061,65 ; R$ 7.431,55 ;Cartão;Pendente
123;2024-01-23;2024;1;23;1032;Cliente_1032;Centro-Oeste;Online;Produto_118;Eletrônicos;4; R$ 1.891,92 ; R$ 7.567,68 ;Cartão;Pendente
124;2024-09-08;2024;9;8;823;Cliente_823;Sul;Varejo;Produto_21;Software;7; R$ 1.378,47 ; R$ 9.649,29 ;Boleto;Concluída
125;2024-10-26;2024;10;26;259;Cliente_259;Centro-Oeste;Online;Produto_98;Acessórios;5; R$ 1.256,15 ; R$ 6.280,75 ;Pix;Pendente
126;2024-12-25;2024;12;25;1036;Cliente_1036;Norte;Atacado;Produto_111;Equipamentos;10; R$ 871,79 ; R$ 8.717,90 ;Boleto;Pendente
127;2024-02-18;2024;2;18;695;Cliente_695;Sudeste;Corporativo;Produto_81;Software;8; R$ 809,49 ; R$ 6.475,92 ;Pix;Concluída
128;2024-02-13;2024;2;13;972;Cliente_972;Norte;Corporativo;Produto_25;Software;2; R$ 200,63 ; R$ 401,26 ;Boleto;Cancelada
129;2024-10-14;2024;10;14;123;Cliente_123;Sudeste;Varejo;Produto_106;Software;10; R$ 1.914,12 ; R$ 19.141,20 ;Transferência;Cancelada
130;2024-06-29;2024;6;29;106;Cliente_106;Norte;Atacado;Produto_40;Equipamentos;5; R$ 1.208,81 ; R$ 6.044,05 ;Boleto;Concluída
131;2024-05-22;2024;5;22;718;Cliente_718;Centro-Oeste;Atacado;Produto_110;Acessórios;9; R$ 747,77 ; R$ 6.729,93 ;Cartão;Cancelada
132;2024-12-25;2024;12;25;548;Cliente_548;Sudeste;Online;Produto_90;Eletrônicos;1; R$ 377,22 ; R$ 377,22 ;Boleto;Concluída
133;2024-11-20;2024;11;20;1160;Cliente_1160;Norte;Varejo;Produto_136;Serviços;7; R$ 157,78 ; R$ 1.104,46 ;Transferência;Pendente
134;2024-06-08;2024;6;8;930;Cliente_930;Sudeste;Varejo;Produto_14;Serviços;6; R$ 331,67 ; R$ 1.990,02 ;Boleto;Cancelada
135;2024-12-04;2024;12;4;102;Cliente_102;Sul;Corporativo;Produto_114;Equipamentos;2; R$ 558,76 ; R$ 1.117,52 ;Pix;Concluída
136;2024-02-26;2024;2;26;1050;Cliente_1050;Sudeste;Corporativo;Produto_135;Software;2; R$ 703,44 ; R$ 1.406,88 ;Cartão;Concluída
137;2024-04-14;2024;4;14;810;Cliente_810;Sudeste;Atacado;Produto_36;Software;10; R$ 128,47 ; R$ 1.284,70 ;Pix;Pendente
138;2024-08-08;2024;8;8;246;Cliente_246;Nordeste;Atacado;Produto_98;Acessórios;1; R$ 1.004,82 ; R$ 1.004,82 ;Boleto;Cancelada
139;2024-01-22;2024;1;22;1145;Cliente_1145;Sul;Varejo;Produto_118;Eletrônicos;6; R$ 162,71 ; R$ 976,26 ;Pix;Cancelada
140;2024-11-23;2024;11;23;880;Cliente_880;Sul;Online;Produto_30;Equipamentos;10; R$ 820,76 ; R$ 8.207,60 ;Cartão;Pendente
141;2024-12-19;2024;12;19;352;Cliente_352;Sudeste;Varejo;Produto_112;Eletrônicos;10; R$ 930,99 ; R$ 9.309,90 ;Boleto;Pendente
142;2024-06-07;2024;6;7;821;Cliente_821;Sudeste;Atacado;Produto_86;Serviços;9; R$ 175,72 ; R$ 1.581,48 ;Cartão;Cancelada
143;2024-06-27;2024;6;27;234;Cliente_234;Sudeste;Atacado;Produto_61;Eletrônicos;9; R$ 1.029,71 ; R$ 9.267,39 ;Boleto;Pendente
144;2024-12-01;2024;12;1;405;Cliente_405;Norte;Atacado;Produto_127;Equipamentos;3; R$ 1.212,75 ; R$ 3.638,25 ;Transferência;Cancelada
145;2024-11-17;2024;11;17;1157;Cliente_1157;Sudeste;Atacado;Produto_113;Eletrônicos;10; R$ 659,95 ; R$ 6.599,50 ;Transferência;Pendente
146;2024-06-29;2024;6;29;621;Cliente_621;Centro-Oeste;Varejo;Produto_80;Equipamentos;5; R$ 1.191,01 ; R$ 5.955,05 ;Transferência;Concluída
147;2024-02-09;2024;2;9;117;Cliente_117;Norte;Corporativo;Produto_119;Acessórios;6; R$ 1.666,76 ; R$ 10.000,56 ;Cartão;Pendente
148;2024-08-31;2024;8;31;1171;Cliente_1171;Centro-Oeste;Atacado;Produto_16;Equipamentos;4; R$ 656,62 ; R$ 2.626,48 ;Cartão;Pendente
149;2024-01-21;2024;1;21;173;Cliente_173;Nordeste;Corporativo;Produto_113;Acessórios;9; R$ 1.299,33 ; R$ 11.693,97 ;Boleto;Pendente
150;2024-06-22;2024;6;22;764;Cliente_764;Centro-Oeste;Varejo;Produto_86;Eletrônicos;5; R$ 787,08 ; R$ 3.935,40 ;Pix;Concluída
151;2024-12-02;2024;12;2;1143;Cliente_1143;Centro-Oeste;Atacado;Produto_86;Eletrônicos;7; R$ 582,61 ; R$ 4.078,27 ;Boleto;Pendente
152;2024-12-28;2024;12;28;636;Cliente_636;Norte;Online;Produto_144;Equipamentos;7; R$ 275,32 ; R$ 1.927,24 ;Pix;Concluída
153;2024-08-04;2024;8;4;1079;Cliente_1079;Centro-Oeste;Online;Produto_5;Software;2; R$ 1.299,13 ; R$ 2.598,26 ;Pix;Concluída
154;2024-09-05;2024;9;5;439;Cliente_439;Nordeste;Atacado;Produto_36;Serviços;6; R$ 1.896,38 ; R$ 11.378,28 ;Cartão;Pendente
155;2024-09-26;2024;9;26;208;Cliente_208;Norte;Online;Produto_34;Acessórios;9; R$ 1.546,33 ; R$ 13.916,97 ;Transferência;Concluída
156;2024-11-15;2024;11;15;333;Cliente_333;Nordeste;Corporativo;Produto_12;Equipamentos;3; R$ 1.666,06 ; R$ 4.998,18 ;Pix;Cancelada
157;2024-08-17;2024;8;17;487;Cliente_487;Nordeste;Atacado;Produto_80;Equipamentos;8; R$ 1.228,98 ; R$ 9.831,84 ;Boleto;Pendente
158;2024-05-24;2024;5;24;1169;Cliente_1169;Sul;Corporativo;Produto_42;Serviços;8; R$ 934,13 ; R$ 7.473,04 ;Boleto;Pendente
159;2024-10-10;2024;10;10;107;Cliente_107;Norte;Varejo;Produto_73;Eletrônicos;8; R$ 1.750,75 ; R$ 14.006,00 ;Boleto;Pendente
160;2024-08-11;2024;8;11;921;Cliente_921;Norte;Atacado;Produto_116;Software;9; R$ 311,75 ; R$ 2.805,75 ;Cartão;Pendente
161;2024-04-30;2024;4;30;110;Cliente_110;Sul;Varejo;Produto_96;Serviços;7; R$ 1.013,97 ; R$ 7.097,79 ;Cartão;Pendente
162;2024-03-11;2024;3;11;203;Cliente_203;Norte;Online;Produto_121;Serviços;6; R$ 1.586,93 ; R$ 9.521,58 ;Transferência;Pendente
163;2024-04-20;2024;4;20;11;Cliente_11;Nordeste;Corporativo;Produto_29;Software;2; R$ 57,63 ; R$ 115,26 ;Boleto;Pendente
164;2024-11-23;2024;11;23;250;Cliente_250;Centro-Oeste;Corporativo;Produto_17;Eletrônicos;1; R$ 492,11 ; R$ 492,11 ;Transferência;Cancelada
165;2024-10-21;2024;10;21;1098;Cliente_1098;Nordeste;Atacado;Produto_75;Equipamentos;1; R$ 1.271,27 ; R$ 1.271,27 ;Cartão;Cancelada
166;2024-04-05;2024;4;5;723;Cliente_723;Norte;Online;Produto_18;Acessórios;4; R$ 1.149,91 ; R$ 4.599,64 ;Cartão;Pendente
